"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSRP1",47.086654835608,1.41191168659582,0.0705199345933801,20.0214548515529,3.58110360113783e-89,4.47734736726043e-87
"FRMD3",18.0312036761943,1.24569910756743,0.0623942022675786,19.9649817177761,1.11068426064719e-88,1.37933567510171e-86
"MYLK",34.8553470940105,1.6890075790212,0.0847408003009046,19.9314565477755,2.17149524138887e-88,2.67875652977731e-86
"ACTN4",127.29718859819,1.658051385526,0.0837694336467352,19.7930356377743,3.41820394314309e-87,4.18877124264369e-85
"TPM2",39.4336166703784,1.60675942339284,0.0815906357083463,19.6929391399322,2.47880937218755e-86,3.01762425151042e-84
"SNCA",20.9522706035014,1.30801408854973,0.0665327174477669,19.6597123749923,4.77426033635177e-86,5.7740466185525e-84
"BMP7",14.2136282741636,1.5526260393663,0.0790130851377342,19.6502394085712,5.75408181872836e-86,6.91386558271101e-84
"SLCO2A1",39.8488749292338,2.02042217532636,0.102997533456393,19.6162190251067,1.12409503472016e-85,1.34195190467496e-83
"CTNNBIP1",20.1542712531048,1.26621623742615,0.0648373101954387,19.529129657128,6.20885655719889e-85,7.36465908553899e-83
"ARHGEF26",17.6771358868898,1.40089488865153,0.0718233646174636,19.5047237916631,1.00096362487812e-84,1.17973445316845e-82
"ARHGDIB",50.3939696048886,1.43884614013205,0.0740164849807736,19.4395362128558,3.57381795793981e-84,4.18543844896951e-82
"MPP5",33.1845627061832,1.72981999824483,0.0891277260133864,19.408326405467,6.5630143351068e-84,7.63786272055447e-82
"CDH5",21.6109810190663,1.4091307894442,0.0726741915557445,19.389700239917,9.42847492351428e-84,1.09040312490443e-81
"IGFBP5",215.434150873474,2.63156001310388,0.135760041807586,19.3839069144779,1.0552319343766e-83,1.2127957586152e-81
"ADGRG1",39.1121504459555,-1.92362914590156,0.0994215090047241,-19.3482191646293,2.11007796993384e-83,2.41017794787999e-81
"DCN",97.688796922865,2.72367942363986,0.141173797886327,19.2930945006733,6.13866736615505e-83,6.96870557934559e-81
"ICAM2",24.4162171324701,1.26776273625681,0.0657885968754412,19.2702504152366,9.54729928854938e-83,1.07721479289828e-80
"DEFB1",157.215971030625,-3.76274812912668,0.195546973447934,-19.2421701179054,1.64188310754238e-82,1.84129727405844e-80
"EGFL7",30.380193188321,1.59599428828493,0.0829943736608792,19.2301504052103,2.0702688053189e-82,2.30772614298921e-80
"NPDC1",46.6881202064687,1.48368341143355,0.0773384302083524,19.1842969586589,5.00666684867196e-82,5.54750678849257e-80
"ITGB5",26.1023916121368,1.62031588754275,0.0846627059087429,19.1384845328387,1.20730803437648e-81,1.32976356357753e-79
"NPR3",24.4023644388247,1.83848677485984,0.0964147990213338,19.0685122358969,4.61241590957682e-81,5.05018603495914e-79
"NRIP2",16.7790968276948,1.40482414580461,0.0738601215679663,19.0200627345554,1.16344231422957e-80,1.26637274014729e-78
"MIB1",29.9821682645255,1.34829467632282,0.0709309555275668,19.008550868863,1.44900251236184e-80,1.56797324495576e-78
"NEDD9",23.5170522255637,1.70097901286453,0.0896245550398533,18.978939556332,2.54684566933715e-80,2.73993210845433e-78
"CDC14A",15.6169732776822,1.31503870197236,0.0695438158624109,18.9094987910083,9.52578252839993e-80,1.01887329425152e-77
"FLRT3",27.7622639025753,1.80375468145423,0.095463610417403,18.8946832575002,1.26142371982892e-79,1.34145887998358e-77
"TMEM176B",21.5360955172974,-1.71145689670018,0.090755312146271,-18.8579252963376,2.52952618525277e-79,2.67464871610955e-77
"PMEPA1",17.297387674975,1.46820437227499,0.0781448250662353,18.7882482433167,9.42391210116855e-79,9.90795849545585e-77
"F2R",13.7249910028168,1.46915045089707,0.0782501654060321,18.7750459474916,1.20843371864299e-78,1.26332528416779e-76
"PLD3",42.8935762090035,1.30367744333399,0.0694520918473575,18.7708880849727,1.30682526174108e-78,1.35851093501444e-76
"SIRPA",22.6921010090101,1.36972487651035,0.0731292978058789,18.7301795259443,2.80966940726071e-78,2.90447612915933e-76
"IL1RL1",149.600843224071,4.29263804849868,0.229324313798838,18.7186346593155,3.48982192348372e-78,3.58753693734127e-76
"TBX3",19.5042612413222,1.50801746177227,0.0805702040956512,18.7168132276541,3.61120144758502e-78,3.69180506000626e-76
"EFNB1",18.6437675684659,1.52998710834349,0.0817503946289875,18.7153482902084,3.71187168395379e-78,3.77387217801544e-76
"SORT1",38.0112701903193,1.55931101325539,0.0833228039047527,18.7140967440061,3.80009126950294e-78,3.84245294267117e-76
"IL6ST",79.3629686291514,1.44294735351874,0.0772911879420027,18.6689762693451,8.85335437186904e-78,8.90339507049265e-76
"CLEC3B",35.7224068989992,1.66974004959741,0.0894486106480382,18.6670316900448,9.18159928410418e-78,9.1835844947602e-76
"SH3BGRL2",24.2022036791824,1.45768900798201,0.0782421384822187,18.6304852635551,1.81867898447334e-77,1.8092922542309e-75
"HEG1",23.4506122620133,1.59713334651869,0.0859531708906316,18.581436030451,4.54187400415465e-77,4.49426933544801e-75
"ATP1B1",185.239779563723,-2.34642137666116,0.126519301493333,-18.5459558262326,8.79236525152212e-77,8.65393226671092e-75
"PCSK1N",29.9760658923034,-1.97486090809693,0.106629874576751,-18.520709284671,1.40572842792837e-76,1.37627507039082e-74
"B4GAT1",22.2199928022125,1.32168097665524,0.0716839163410856,18.4376223303207,6.55614992817994e-76,6.38499990900219e-74
"SLC3A1",34.3913902176357,-2.23363465151319,0.121206941937475,-18.4282732969653,7.79309451052217e-76,7.54991732056032e-74
